hour,Win_Rate_%,Total_Profit,Trade_Count
0,66.96,9755.0,1934
1,71.76,11245.0,1951
2,69.0,10335.0,1932
3,63.86,8770.0,1915
4,58.7,7170.0,1884
5,65.61,9350.0,1931
6,67.7,10020.0,1944
7,68.46,10275.0,1950
8,66.24,9545.0,1934
9,63.88,8830.0,1927
10,64.35,8965.0,1927
11,64.65,9105.0,1938
12,71.74,11235.0,1950
13,76.99,12810.0,1956
14,77.19,12860.0,1955
15,72.55,11425.0,1942
16,67.55,9915.0,1932
17,66.65,9425.0,1886
18,59.75,7295.0,1841
19,60.76,7570.0,1840
20,56.31,6010.0,1744
21,60.12,1965.0,489
22,58.93,5115.0,1332
23,62.75,8235.0,1866
